Num,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population 
0,Europe,3543710,10493,207347,149,2063335,1273028,5619,,,,,
1,Russia,990326,498,17093,68,806982,166251,23,6786,117,36400000,249409,145944843
2,Spain,455621,,29011,,N/A,N/A,751,9744,620,8517446,182161,46757783
3,UK,332752,,41498,,N/A,N/A,60,4897,611,16273209,239508,67944393
4,France,272530,,30602,,86177,155751,387,4174,469,6175223,94571,65297356
5,Italy,266853,,35473,,208224,23156,79,4415,587,8509618,140778,60447003
6,Germany,242825,,9363,,217484,15978,245,2897,112,11208091,133703,83828051
7,Ukraine,119074,2096,2527,35,56734,59813,177,2725,58,1536171,35161,43689434
8,Romania,86785,952,3578,39,37665,45542,492,4516,186,1795633,93445,19216003
9,Belgium,84599,647,9891,5,18403,56305,72,7294,853,2261043,194953,11597901
10,Sweden,83958,,5821,,N/A,N/A,21,8305,576,1094856,108299,10109546
11,Belarus,71523,,671,,70207,645,,757,71,1517128,160563,9448806
12,Netherlands,69632,,6224,,N/A,N/A,38,4062,363,1455274,849,17141131
13,Poland,6687,631,2033,1,46192,18645,85,1767,54,2660665,70314,37839707
14,Portugal,57448,,1818,,41766,13864,40,5637,178,1976482,19393,10191733
15,Switzerland,42014,292,2005,,352,4809,18,4849,231,1010948,116671,8664924
16,Moldova,36404,,990,,25139,10275,575,9028,246,207925,51564,4032396
17,Serbia,31282,,710,,29825,747,40,3583,81,920852,105464,8731464
18,Ireland,2872,,1777,,23364,3579,5,5806,359,824712,166721,4946665
19,Austria,27166,181,733,,2307,3363,30,3013,81,1172092,130019,9014800
20,Czechia,24094,,421,,17541,6132,32,2249,39,89114,83189,10712264
21,Bosnia and Herzegovina,1955,,594,,12858,6098,,5965,181,183974,56135,3277374
22,Denmark,16779,,624,,14989,1166,4,2895,108,2400103,414128,5795557
23,Bulgaria,16164,,605,,11253,4306,61,2329,87,403213,58103,6939586
24,North Macedonia,14293,,596,,11014,2683,3,6861,286,147002,7056,2083360
25,Norway,10611,,264,,9348,999,1,1955,49,686202,126416,5428131
26,Croatia,10123,262,184,1,7212,2727,13,2468,45,166638,40634,4100994
27,Greece,9977,,260,,3804,5913,36,958,25,931002,89395,10414489
28,Albania,9279,,275,,502,3984,19,3225,96,56815,19746,2877274
29,Finland,8077,28,335,,72,542,1,1457,60,637159,114966,5542144
30,Luxembourg,6625,,124,,714,-639,2,10556,198,633773,1009847,627593
31,Hungary,5961,292,614,,3759,1588,7,617,64,42427,43937,9656250
32,Montenegro,4727,,93,,3839,795,,7526,148,4803,76471,628079
33,Slovakia,3876,34,33,,2278,1565,11,710,6,334344,61234,5460081
34,Lithuania,2874,35,86,,1837,951,5,1058,32,637509,234745,2715752
35,Slovenia,2865,31,133,,2283,449,2,1378,64,158236,76112,2078985
36,Estonia,2373,10,64,,2088,221,,1789,48,147902,111483,1326683
37,Iceland,21,,10,,1979,111,,6147,29,212169,621096,341604
38,Malta,1847,,11,,1244,592,,4181,25,186644,422523,441737
39,Latvia,1393,12,34,,1163,196,1,740,18,250709,133169,1882635
40,Andorra,1124,,53,,902,169,3,14544,686,137457,1778573,77285
41,San Marino,710,,42,,658,10,,20917,1237,6678,196742,33943
42,Channel Islands,625,,48,,545,32,,3589,276,68985,396188,174122
43,Faeroe Islands,411,,,,362,49,2,8406,,92895,1899926,48894
44,Isle of Man,336,,24,,312,0,,3948,282,984,115619,85107
45,Gibraltar,285,10,,,228,57,,846,,34102,1012259,33689
46,Monaco,130,,1,,89,40,1,3309,25,51953,1322397,39287
47,Liechtenstein,107,,1,,97,9,,2805,26,900,23594,38146
48,Vatican City,12,,,,12,0,,14981,,,,801
